Name,Price,Designs,Material,Color,Warranty,Seater,Armrest,Shape,Brand,Length (Cm),Breadth (Cm),Height (Cm),Ratings,Sold Count
"Berlin L - Shape Right Aligned Corner Sofa
(Velvet, Graphite Grey)",68989,Chesterfield,Velvet,Grey,36,0,Yes,L - Shape,Wooden Street,182.9,76.2,76.2,4.7,84
"Henry L - Shape Left Aligned Corner Sofa
(Velvet, Mulberry Pink)",68989,Chesterfield,Velvet,Purple,36,0,Yes,L - Shape,Wooden Street,275.6,82.6,78.7,4.8,441
"Henry L - Shape Left Aligned Corner Sofa
(Velvet, Dark Olive Green)",68989,Chesterfield,Velvet,Green,36,0,Yes,L - Shape,Wooden Street,275.6,82.6,78.7,4.8,441
"Orlando Fabric Sofa Set
(Chestnut Brown)",68989,Modern,Velvet,Brown,36,4,0,0,Wooden Street,193.0,76.2,81.3,0,0
"Orlando Fabric Sofa Set
(Indigo Blue)",68989,Modern,Velvet,Blue,36,4,0,0,Wooden Street,193.0,76.2,81.3,0,0
"Orlando Fabric Sofa Set
(Graphite Grey)",68989,Chesterfield,Velvet,Grey,36,4,0,0,Wooden Street,193.0,76.2,81.3,0,0
"Solace L-Shaped 3 Seater Wooden Sofa with Washable Zipper Cover
(Honey Finish)",68699,0,Sheesham wood,Grey,36,0,Yes,L - Shape,Wooden Street,218.4,86.4,78.7,4.9,93
Alpine Comfort Set,66599,Modern,Cotton,Blue,36,3,0,0,Wooden Street,182.9,76.2,76.2,0,0
Earthen Comfort Set,66599,Chesterfield,Cotton,White,36,3,0,0,Wooden Street,198.1,81.3,76.2,0,0
"Audrey 6 Seater L Shape Corner Sofa Set with Washable Zipper Cover
(Walnut Finish)",66599,0,Sheesham wood,Cream,36,0,Yes,L - Shape,Wooden Street,261.6,180.3,71.1,4.9,78
"Audrey 6 Seater L Shape Corner Sofa Set with Washable Zipper Cover
(Honey Finish)",66599,0,Sheesham wood,Cream,36,0,Yes,L - Shape,Wooden Street,261.6,180.3,71.1,4.9,78
"Memento 3 Seater Wooden Sofa with Cotton and Leatherette Upholstery
(Ginger Bread)",62989,Modern,Ash wood,Brown,36,3,Yes,0,Wooden Street,226.1,88.9,78.7,4.5,9
Mariam 3 Seater Living Room Sofa with Arm Chairs,61599,Rolled arm,Velvet,Grey,36,3,0,0,Wooden Street,208.3,81.3,71.1,5,10
"Argos L - Shape Left Aligned Corner Sofa
(Indigo Ink)",61499,0,Cotton,Blue,36,0,0,0,Wooden Street,248.9,213.4,83.8,5,10
"Argos L - Shape Left Aligned Corner Sofa
(Warm Grey)",61499,0,Cotton,Grey,36,0,0,0,Wooden Street,248.9,213.4,83.8,5,10
"Argos L - Shape Right Aligned Corner Sofa
(Indigo Ink)",61499,0,Cotton,Blue,36,0,0,0,Wooden Street,248.9,213.4,83.8,0,0
"Argos L - Shape Right Aligned Corner Sofa
(Warm Grey)",61499,0,Cotton,Grey,36,0,0,0,Wooden Street,248.9,213.4,83.8,0,0
