Price,Designs,Material,Color,Warranty,Brand,Length (Cm),Breadth (Cm),Height (Cm),Ratings,Sold Count
44989,Modern,Velvet,Pink,36,Wooden Street,238.8,83.8,76.2,4.8,275
44989,Rolled arm,Velvet,Purple,36,Wooden Street,198.1,88.9,71.1,4.8,57
44989,Rolled arm,Velvet,Blue,36,Wooden Street,198.1,88.9,71.1,4.8,57
44989,Rolled arm,Velvet,Grey,36,Wooden Street,198.1,88.9,71.1,4.8,57
44989,Rolled arm,Velvet,Green,36,Wooden Street,198.1,88.9,71.1,4.8,57
44989,Rolled arm,Velvet,Brown,36,Wooden Street,198.1,88.9,71.1,4.8,57
44989,Rolled arm,Velvet,Pink,36,Wooden Street,198.1,88.9,71.1,4.8,57
44989,Modern,Velvet,Blue,36,Wooden Street,238.8,83.8,76.2,4.8,275
44989,Modern,Velvet,Grey,36,Wooden Street,238.8,83.8,76.2,4.8,275
44989,Modern,Velvet,Green,36,Wooden Street,238.8,83.8,76.2,4.8,275
43989,Contemporary,Cotton,Cream,36,Wooden Street,208.3,83.8,76.2,5,150
43989,Modern,Cotton,White,36,Wooden Street,182.9,72.4,76.2,4.8,724
43989,Chesterfield,Cotton,Blue,36,Wooden Street,182.9,72.4,76.2,4.8,724
43989,Traditional,Velvet,Brown,36,Wooden Street,182.9,76.2,95.3,4.9,103
43989,Traditional,Velvet,Blue,36,Wooden Street,182.9,76.2,95.3,4.9,103
42999,Contemporary,Velvet,Pink,36,Wooden Street,208.3,76.2,76.2,5,15
42999,Contemporary,Velvet,Brown,36,Wooden Street,208.3,76.2,76.2,5,15
42999,Contemporary,Velvet,Grey,36,Wooden Street,208.3,76.2,76.2,5,15
42999,Contemporary,Velvet,Blue,36,Wooden Street,208.3,76.2,76.2,5,15
42999,Contemporary,Velvet,Green,36,Wooden Street,208.3,76.2,76.2,5,15
42989,Modern,Velvet,Grey,36,Wooden Street,213.4,78.7,78.7,4.8,24
42989,Modern,Velvet,Blue,36,Wooden Street,213.4,78.7,78.7,4.8,24
42989,Contemporary,Velvet,Brown,36,Wooden Street,208.2,96.5,83.8,5,10
42989,Contemporary,Velvet,Grey,36,Wooden Street,208.2,96.5,83.8,5,10
42989,Contemporary,Velvet,Blue,36,Wooden Street,208.2,96.5,83.8,5,10
42989,Contemporary,Velvet,Green,36,Wooden Street,208.2,96.5,83.8,5,10
42989,Chesterfield,Velvet,Brown,36,Wooden Street,213.4,78.7,78.7,4.8,24
42989,Contemporary,Velvet,Green,36,Wooden Street,208.3,83.8,76.2,5,150
42898,Modern,Cotton,Grey,36,Wooden Street,208.3,68.6,73.7,5,10
40999,Traditional,Cotton,Cream,36,Wooden Street,182.9,76.2,95.3,4.6,41
40999,Traditional,Cotton,Grey,36,Wooden Street,182.9,76.2,95.3,4.6,41
40999,Traditional,Cotton,Beige,36,Wooden Street,182.9,76.2,95.3,4.6,41
40999,Traditional,Cotton,Blue,36,Wooden Street,182.9,76.2,95.3,4.6,41
39999,Rolled arm,Velvet,Blue,36,Wooden Street,193,81.3,83.8,4.9,39
39999,Rolled arm,Velvet,Brown,36,Wooden Street,193,81.3,83.8,4.9,39
39989,Modern,Velvet,Brown,36,Wooden Street,210.8,81.3,78.7,4.8,38
39989,Modern,Velvet,Blue,36,Wooden Street,210.8,81.3,78.7,4.8,38
39989,Modern,Cotton,Red,36,Wooden Street,198.1,76.2,78.7,4.6,78
39989,Modern,Cotton,Cream,36,Wooden Street,198.1,76.2,78.7,4.6,78
39989,Modern,Cotton,Blue,36,Wooden Street,198.1,76.2,78.7,4.6,78
39989,Modern,Cotton,Cream,36,Wooden Street,198.1,76.2,78.7,4.6,78
39989,Chesterfield,Velvet,Blue,36,Wooden Street,182.9,72.4,76.2,4.8,724
39989,Modern,Cotton,Blue,36,Wooden Street,198.1,76.2,78.7,4.6,78
39989,Modern,Cotton,Cream,36,Wooden Street,198.1,76.2,78.7,4.6,78
39989,Modern,Velvet,Green,36,Wooden Street,198.1,76.2,78.7,4.6,78
39989,Modern,Cotton,Red,36,Wooden Street,198.1,76.2,78.7,4.6,78
39989,Modern,Cotton,Red,36,Wooden Street,198.1,76.2,78.7,4.6,78
39989,Modern,Cotton,Cream,36,Wooden Street,198.1,76.2,78.7,4.6,78
39989,Modern,Velvet,Blue,36,Wooden Street,198.1,76.2,86.4,4.6,78
39989,Modern,Velvet,Grey,36,Wooden Street,210.8,81.3,78.7,4.8,38
39989,Modern,Velvet,Grey,36,Wooden Street,188,88.9,78.7,4.5,68
39989,Modern,Cotton,White,36,Wooden Street,188,88.9,78.7,4.5,68
39989,Chesterfield,Velvet,Brown,36,Wooden Street,182.9,72.4,76.2,4.8,724
39989,Chesterfield,Velvet,Grey,36,Wooden Street,182.9,72.4,76.2,4.8,724
39898,Rolled arm,Velvet,Brown,36,Wooden Street,198.1,81.3,76.2,4.8,826
39898,Rolled arm,Velvet,Blue,36,Wooden Street,198.1,81.3,76.2,4.8,826
39898,Rolled arm,Velvet,Grey,36,Wooden Street,198.1,81.3,76.2,4.8,826
38989,Modern,Velvet,Brown,36,Wooden Street,208.3,81.3,81.3,4.4,105
38989,Modern,Velvet,Grey,36,Wooden Street,208.3,81.3,81.3,4.4,105
38989,Modern,Velvet,Blue,36,Wooden Street,208.3,81.3,81.3,4.4,105
38989,Modern,Cotton,Blue,36,Wooden Street,208.3,81.3,81.3,4.4,105
38989,Modern,Cotton,Red,36,Wooden Street,208.3,81.3,81.3,4.4,105
38989,Modern,Cotton,Blue,36,Wooden Street,208.3,81.3,81.3,4.4,105
38989,Modern,Cotton,Brown,36,Wooden Street,208.3,81.3,81.3,4.4,105
38989,Contemporary,Velvet,Pink,36,Wooden Street,210.8,76.2,82.6,4.4,170
38989,Contemporary,Velvet,Grey,36,Wooden Street,210.8,76.2,82.6,4.4,170
38989,Contemporary,Velvet,Green,36,Wooden Street,210.8,76.2,81.3,4.4,170
38989,Contemporary,Velvet,Brown,36,Wooden Street,210.8,76.2,82.6,4.4,170
38989,Contemporary,Velvet,Blue,36,Wooden Street,210.8,76.2,82.6,4.4,170
38949,Traditional,Velvet,Grey,36,Wooden Street,182.9,76.2,95.3,4.6,41
38949,Traditional,Velvet,Blue,36,Wooden Street,182.9,76.2,95.3,4.6,41
38949,Traditional,Velvet,Brown,36,Wooden Street,182.9,76.2,95.3,4.6,41
38599,Contemporary,Velvet,Grey,36,Wooden Street,210.8,76.2,82.6,4.7,337
38599,Modern,Velvet,Blue,36,Wooden Street,210.8,76.2,82.6,4.7,337
38599,Contemporary,Velvet,Green,36,Wooden Street,210.8,76.2,82.6,4.7,337
38599,Contemporary,Velvet,Purple,36,Wooden Street,210.8,76.2,82.6,4.7,337
37996,Modern,Polyester spandex,Teal,12,Vittoria,78.7,182.9,83.8,4.4,22
37898,Modern,Velvet,Grey,36,Wooden Street,182.9,91.4,87.6,4.7,42
37898,Modern,Velvet,Green,36,Wooden Street,182.9,91.4,87.6,4.7,42
37898,Modern,Velvet,Blue,36,Wooden Street,182.9,91.4,87.6,4.7,42
37898,Modern,Velvet,Brown,36,Wooden Street,182.9,91.4,87.6,4.7,42
36989,Modern,Velvet,Brown,36,Wooden Street,208.3,83.8,88.9,5,10
36989,Chesterfield,Velvet,Green,36,Wooden Street,208.3,83.8,88.9,5,10
36989,Chesterfield,Velvet,Grey,36,Wooden Street,208.3,83.8,88.9,5,10
36989,Chesterfield,Velvet,Blue,36,Wooden Street,208.3,83.8,88.9,5,10
35099,Traditional,Engineered wood,Cream,12,Wooden Street,203.2,134.6,76.2,4.5,108
34989,Chesterfield,Cotton,Blue,36,Wooden Street,198.1,83.8,88.9,4.7,529
34989,Chesterfield,Cotton,Grey,36,Wooden Street,198.1,83.8,88.9,4.7,529
34989,Chesterfield,Cotton,Cream,36,Wooden Street,198.1,83.8,88.9,4.7,529
34989,Chesterfield,Cotton,Cream,36,Wooden Street,198.1,83.8,88.9,4.7,529
34989,Contemporary,Velvet,Brown,36,Wooden Street,167.6,78.7,73.7,4.7,121
34989,Chesterfield,Cotton,Cream,36,Wooden Street,198.1,83.8,88.9,4.7,529
34989,Contemporary,Velvet,Grey,36,Wooden Street,167.6,78.7,73.7,4.7,121
34989,Chesterfield,Velvet,Brown,36,Wooden Street,193,76.2,81.3,4.7,80
34989,Chesterfield,Velvet,Blue,36,Wooden Street,193,76.2,81.3,4.7,80
34989,Chesterfield,Velvet,Grey,36,Wooden Street,193,76.2,81.3,4.7,80
34989,Contemporary,Velvet,Green,36,Wooden Street,167.6,78.7,73.7,4.7,121
34989,Contemporary,Velvet,Blue,36,Wooden Street,167.6,78.7,73.7,4.7,121
34499,Chesterfield,Velvet,Grey,36,Wooden Street,198.1,91.4,81.3,4.6,37
34499,Chesterfield,Velvet,Brown,36,Wooden Street,198.1,91.4,81.3,4.6,37
34289,Chesterfield,Velvet,Grey,36,Wooden Street,190.5,76.2,83.8,4.8,92
34289,Chesterfield,Velvet,Brown,36,Wooden Street,190.5,76.2,83.8,4.8,92
34289,Chesterfield,Velvet,Blue,36,Wooden Street,190.5,76.2,83.8,4.8,92
33898,Rolled arm,Velvet,Grey,36,Wooden Street,198.1,83.8,88.9,4.7,529
33898,Rolled arm,Velvet,Blue,36,Wooden Street,198.1,83.8,88.9,4.7,529
33898,Rolled arm,Velvet,Brown,36,Wooden Street,198.1,83.8,88.9,4.7,529
32989,Chesterfield,Velvet,Grey,36,Wooden Street,182.9,76.2,86.4,4.6,37
32989,Chesterfield,Velvet,Blue,36,Wooden Street,203.2,76.2,78.7,4.8,29
32989,Chesterfield,Velvet,Brown,36,Wooden Street,203.2,76.2,78.7,4.8,29
32989,Chesterfield,Velvet,Brown,36,Wooden Street,182.9,76.2,86.4,4.6,37
32989,Chesterfield,Velvet,Green,36,Wooden Street,182.9,76.2,86.4,4.6,37
32989,Chesterfield,Velvet,Blue,36,Wooden Street,182.9,76.2,86.4,4.6,37
32989,Chesterfield,Velvet,Purple,36,Wooden Street,182.9,76.2,86.4,4.6,37
29999,Rolled arm,Velvet,Grey,36,Wooden Street,208.3,76.2,78.7,4.5,68
29999,Rolled arm,Velvet,Green,36,Wooden Street,208.3,76.2,78.7,4.5,68
29999,Rolled arm,Velvet,Brown,36,Wooden Street,208.3,76.2,78.7,4.5,68
29999,Rolled arm,Velvet,Blue,36,Wooden Street,208.3,76.2,78.7,4.5,68
29999,Rolled arm,Velvet,Purple,36,Wooden Street,208.3,76.2,78.7,4.5,68
29899,Contemporary,Velvet,Brown,36,Wooden Street,182.9,78.7,76.2,4.4,61
29899,Chesterfield,Velvet,Grey,36,Wooden Street,182.9,78.7,76.2,4.4,61
29899,Chesterfield,Velvet,Blue,36,Wooden Street,182.9,78.7,76.2,4.4,61
